Timestamp,Please rank these issues in order of importance to you. [Most important],Please rank these issues in order of importance to you. [Second most important],Please rank these issues in order of importance to you. [Third most important],Please rank these issues in order of importance to you. [Fourth most important],Please rank these issues in order of importance to you. [Least important],What is your position on abortion?,What is your position on immigration?,What is your position on healthcare?,What is your position on the environment?,What is your position on military funding?,Barack Obama,George W Bush,Donald Trump,Hilary Clinton,Mitt Romney,John McCain,Bernie Sanders,Joe Biden,Elizabeth Warren,Cory Booker,Kamala Harris,Kirsten Gillibrand,Amy Klobuchar,Ted Cruz,John Kasich,Marco Rubio,Scott Walker,Ben Carson,Jeb Bush,John Kerry
3/3/2019 22:17:58,4,5,2,1,3,3,4,1,4,5,4,2,1,4,3,3,3,4,3,5,5,3,3,2,3,2,1,2,2,4
3/3/2019 22:26:17,1,3,2,4,5,9,4,8,7,5,3,4,2,2,5,4,1,2,2,4,2,3,3,3,4,4,3,1,3,3
3/5/2019 16:10:47,5,4,2,1,3,5,5,2,1,3,3,1,1,1,1,1,4,2,3,2,2,3,2,1,2,1,1,2,2,3
3/8/2019 15:46:04,5,4,3,1,2,5,2,5,3,5,4,2,1,2,3,4,2,3,2,3,3,3,3,1,3,2,2,2,2,3
3/8/2019 15:46:10,1,4,2,3,5,10,7,3,5,10,2,5,5,1,4,4,1,1,3,3,3,3,3,4,3,4,5,3,3,2
3/8/2019 15:51:15,4,3,1,2,5,9,7,9,6,6,2,5,4,1,5,4,1,1,1,2,1,2,2,4,4,4,5,4,4,4
3/8/2019 16:00:50,4,5,2,3,1,3,4,4,3,4,4,3,1,2,3,4,3,4,2,3,2,3,3,2,5,4,2,2,3,2
3/8/2019 16:18:33,5,2,1,4,3,2,1,1,1,1,3,2,1,3,3,3,4,2,4,3,4,3,2,1,2,3,1,2,2,3
3/8/2019 16:42:29,1,5,4,3,2,3,7,4,2,5,4,4,2,1,2,3,2,5,4,3,4,3,4,2,4,3,1,3,3,3
3/8/2019 17:06:03,1,3,2,4,5,10,7,9,9,8,1,4,5,1,3,1,1,1,1,1,1,1,1,4,3,4,4,4,3,1
3/8/2019 17:09:37,3,2,4,5,1,5,8,7,5,7,2,1,2,1,2,2,1,2,2,2,1,2,2,1,3,3,1,1,1,3
3/8/2019 17:10:40,4,3,2,5,1,4,2,7,4,4,4,2,1,2,4,4,1,3,4,3,3,2,3,3,4,4,2,1,2,3
